population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,489,Other malignant neoplasms,1,Number,2001,415.24873202850705,628.3741809335013,269.1837766439279
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,492,Rheumatic heart disease,1,Number,2001,3624.9915894952046,6134.2786889915915,2112.907003534387
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2001,13416.252073878983,17390.573508961443,9867.668733794897
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,495,Ischemic stroke,1,Number,2001,4363.908737444075,6430.428554112947,2504.9015895946836
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,496,Intracerebral hemorrhage,1,Number,2001,5856.231905585445,8444.8120288846,3868.6516204111163
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,497,Subarachnoid hemorrhage,1,Number,2001,467.95233667905217,1021.5908454500492,194.79356031434375
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,498,Hypertensive heart disease,1,Number,2001,1919.014291914611,2839.1953477588504,1114.3806662965872
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,500,Atrial fibrillation and flutter,1,Number,2001,194.7693119319107,275.49945140914997,132.2993294529508
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,501,Aortic aneurysm,1,Number,2001,69.43430973672417,151.81720475717543,40.30009998478611
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,502,Lower extremity peripheral arterial disease,1,Number,2001,21.0997221506891,33.53865050150451,11.568978275708494
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,503,Endocarditis,1,Number,2001,103.22341873646987,202.6288274961283,51.5871958554082
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1024,Ulcerative colitis,1,Number,2000,68.15613656911201,116.76755390048847,37.35845365631346
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1025,Crohn's disease,1,Number,2000,11.05704823843573,23.650490358947327,3.505378686034814
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2000,1993.2441033110565,2924.0752504290144,1199.3528857920755
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1027,Total burden related to hepatitis C,1,Number,2000,566.3825588936141,844.5810264886733,343.95115140687113
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1028,Total burden related to Non-alcoholic fatty liver disease (NAFLD),1,Number,2000,83.83437191981734,131.14916163938824,49.036444231814336
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1029,Total cancers,1,Number,2000,8679.46459960322,9795.476678938103,7663.137809008574
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1032,Thyroid diseases,1,Number,2000,13.729690863084539,26.52903518906513,5.9693684065515535
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1048,COVID-19,1,Number,2000,0.0,0.0,0.0
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,697,Falls,1,Number,2000,2006.2022051719653,2787.34732023136,1434.1274911964033
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,698,Drowning,1,Number,2000,2232.0712613793285,3131.762670084387,1500.0007248163276
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,699,"Fire, heat, and hot substances",1,Number,2000,423.41782212527056,636.8364285751727,283.60598864555897
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,701,Poisoning by carbon monoxide,1,Number,2000,276.8770224329971,569.8841783802202,98.35480822467022
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,703,Poisoning by other means,1,Number,2000,890.7541268855666,1475.2723776898931,437.62080526579405
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,705,Unintentional firearm injuries,1,Number,2000,9.663250015485794,30.161172396310562,1.2663710107790014
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,707,Other exposure to mechanical forces,1,Number,2000,343.48521755370643,663.4397225728733,156.5900843710931
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,708,Adverse effects of medical treatment,1,Number,2000,803.1928194189286,1148.3134377511824,541.1060069627663
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,710,Venomous animal contact,1,Number,2000,637.9077445896783,1110.911057556,363.3612876398953
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,711,Non-venomous animal contact,1,Number,2000,18.210588172543005,61.32715770844337,2.23186998802091
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,713,Pulmonary aspiration and foreign body in airway,1,Number,2000,43.21008817897692,85.67657983732043,8.474824650758913
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,715,Foreign body in other body part,1,Number,2000,2.930257729053217,7.907082818632075,0.4473968159952102
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,716,Other unintentional injuries,1,Number,2000,119.49694084202093,257.04560545961897,50.69384835463329
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,721,Self-harm by firearm,1,Number,2000,401.23024464752376,930.8998099539026,136.93613743226257
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1059,Total Cancers excluding Non-melanoma skin cancer,1,Number,2000,8644.27149489525,9765.624812614366,7631.638916847892
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1160,Other direct maternal disorders,1,Number,2000,131.68972198794305,219.5754609966145,70.55262648964556
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1161,Other digestive diseases,1,Number,2000,520.7641903109967,883.2546605136863,245.01665027829114
1,All Population,1,Deaths,164,Nepal,3,Both,22,All ages,1163,Self-harm by other specified means,1,Number,2000,2713.1346903759454,3565.9020156272995,1944.7187828998792
